scene_id,objects,avg_position_error,avg_velocity_error,avg_contact_error,avg_drift_growth,final_error,curiosity_score,consistency_score
0,5,1.4834236534833545,0.2917230116492564,0.8065836605572058,0.6119500441576549,10.928843571024288,8.183226189309787,0.10889419245320366
1,4,0.9864103212766914,0.15342975963377994,0.7383715641575418,0.5691793040747565,9.520073465940552,6.612402844049546,0.1313645665483506
2,4,0.9119920864125721,0.15210204317062404,0.7569544385461859,0.5008366941168542,8.777534547084938,6.126040373628089,0.14033038652163415
3,3,1.071681500603123,0.201544577252261,0.7468819486865717,0.4876219194052062,7.926531717671325,6.201992041729228,0.1388504727866786
4,5,1.2567860147029588,0.13348194432314417,0.7625916290129208,0.5446980580696028,8.707097047455669,6.725602975786373,0.12943973475393514
5,3,1.0969812178537142,0.18986482701146268,0.7491101064912391,0.4528774565668358,9.83223674478019,6.5910031431902905,0.13173489473483835
6,3,1.465193375023767,0.12383165764236624,0.6677222512157399,0.10697697657303365,7.741844455704356,5.369567672681313,0.15699652651292786
7,4,1.8944232631806415,0.2817307660786369,0.7556967881033961,0.5920369209369409,17.04145503942503,10.197267737698713,0.08930750102841804
8,3,3.1840156924233636,0.7202000846714514,0.5928519459295384,0.6573768821321414,16.573397715862416,12.924755729269513,0.07181454522020973
9,5,1.0175530744121268,0.15320537478724172,0.7123401268244952,0.6742997222384501,8.429362263246437,6.67532022054413,0.13028772367351554
10,3,1.0717404963117791,0.1715089934668349,0.7118316146863314,0.4801243203555754,7.319528077055935,5.93271532641838,0.144243626474798
11,5,1.1064973594870402,0.1638672987291562,0.7637379661320957,0.6881194791986441,11.613955190182907,7.719065837962628,0.11469118579722397
12,3,1.8990762900763327,0.24137143623836058,0.6401352710694482,0.2915872069416943,9.9767103620153,7.340431789989577,0.11989786922065934
13,5,0.8926500374095054,0.16440179300822272,0.7030836002012802,0.5503358902844098,8.964529423016879,6.263002268939433,0.13768410954193785
14,3,1.047837938723828,0.1781873669623342,0.7285052193535375,0.5106443076329158,8.629189810603382,6.3458672369135405,0.1361309655822425
15,5,1.509418874168668,0.22426121368338783,0.7602956656004944,0.591008478921094,9.870030032851616,7.713479349196458,0.11476471796449696
16,3,2.0502381184087697,0.18400818107478453,0.6102212522158668,0.27234070505389146,11.052586422444552,7.633763512751403,0.11582434456573625
17,3,1.1709558489153302,0.19337829179674149,0.7403667107234894,0.4463945123301164,8.178084095530327,6.267261628562898,0.13760341255221192
18,5,1.3168810457634843,0.37424947853781637,0.8053479340477699,0.6042140836266039,11.43763822262671,8.201220266305118,0.10868123695092938
19,4,0.8800855618267104,0.15542982768018074,0.7183172162799485,0.5801511533905821,9.84791855980665,6.551738314503785,0.13241984273732196
