epoch,split,objects,avg_position_error,avg_velocity_error,avg_contact_error,avg_drift_growth,final_error,curiosity_score,consistency_score
0,train,4,0.8050598802266734,0.09799758297542664,0.8883445212151855,0.31784227095776846,8.491513577931922,5.368334714862335,0.15702692222916823
0,ice,3,1.1918268530323788,0.11422509884742477,0.9088400720722145,0.30121949890266486,8.104179109972925,5.854733823516858,0.14588458512703337
25,train,5,0.6993117787813659,0.19198201828002184,0.6483356307990228,0.5672053417007177,9.916798990715488,6.26208310831214,0.13770153619632988
25,ice,5,0.913707913951345,0.24086119575296408,0.5519695565663278,0.6656077448018031,13.851032263909689,7.863835119382104,0.1128179830210684
50,train,4,1.0570943098443388,0.34044503822861716,0.5945287214892839,0.6131299114763132,10.654523629869814,7.36408090460942,0.11955886264190761
50,ice,5,0.903731212267747,0.28705255781158373,0.5041388174216263,0.6684869356040227,12.003308168493872,7.44012860038195,0.11848160701659759
75,train,4,0.4684048746089179,0.2575234494853066,0.4966417591700823,0.6436856057629178,6.17575636268472,5.189291878014005,0.1615693717002204
75,ice,5,0.7568827689145323,0.29426284742622033,0.5386550098843388,0.8323713011619939,11.360097793284723,7.59964320991574,0.11628389406283264
100,train,5,0.6019214291097161,0.2488827531004308,0.3465809557020354,0.6462486147443542,11.296814258054798,6.510178014314233,0.1331526360752065
100,ice,5,0.7940745717226158,0.2389294041826588,0.5665075993091644,0.7304536561056632,10.340531768227779,7.011972175632341,0.12481321428466836
125,train,5,1.4755974581241151,0.49240699562800644,0.7210115856582282,0.7812907926716125,18.340542288380266,10.848229714210317,0.0844007943904597
125,ice,4,0.8791067300620218,0.2310761123888587,0.693940662794436,0.7074876574475508,8.435689079571876,6.7061382249008075,0.12976668349507472
150,train,3,0.979786135120015,0.30938360811893734,0.29753529150806973,0.4076254252986124,8.983730479688468,5.85479060624392,0.14588337666932025
150,ice,4,0.5802162305891186,0.2468455551742787,0.5794080208121158,0.5337587442294357,7.77250360163923,5.487825610142466,0.15413484580052406
175,train,5,0.719033072892729,0.15943348228675147,0.6248915089038201,0.7024064435555217,11.040290435339523,6.889600022317863,0.12674913774731675
175,ice,5,1.118921248364883,0.21103681399084284,0.663361627929844,0.8098568601933742,12.820343580907092,8.39847360426575,0.10640025626566883
200,train,4,0.7946919262287013,0.22982045247791644,0.6617070156673435,0.5523898470841876,10.100140281765597,6.495590421660191,0.13341177195465156
200,ice,3,0.6609185760065043,0.1811955529584951,0.707585966515924,0.3649617752150603,8.175710355078209,5.200167850857404,0.1612859561312865
225,train,4,1.1220452031226218,0.43380511413064743,0.806763120433546,0.5069931453197275,12.293056229990293,7.951684646835529,0.11171081639404105
225,ice,5,0.531032399916143,0.20441980204739127,0.5451138095280234,0.7324915235546633,8.998623524615038,6.19763246531477,0.1389345739476109
250,train,3,1.5559510057096513,0.5199201540985866,0.8105686463528804,0.44530833876244913,8.173741194730315,7.563695778084457,0.11677201361579448
250,ice,4,1.330278261613667,0.2776935270182536,0.7293230699632962,0.6201920291753552,10.251291153279263,7.703526392266186,0.11489595767625684
275,train,5,0.9955128204593482,0.23314627059842977,0.7434401528934056,1.0216371352641238,12.751335869545434,8.955747297958018,0.10044449402659164
275,ice,5,1.0410698068878157,0.2926351455475407,0.7197186077399723,1.0082520434205664,13.827644673558806,9.348260907818178,0.09663459482786074
300,train,5,0.8081435658064376,0.15182154459205832,0.6269955519670233,0.5998117136792682,10.562849203392688,6.583001431746773,0.13187390362520957
300,ice,5,0.7860590228288121,0.19812384453377538,0.6853022462605926,0.7333178948259516,11.2664556935134,7.277206077427566,0.1208137130628002
325,train,3,0.6017724616414668,0.10463870777505249,0.7969768652966498,0.4767722010483645,5.465283506762267,4.705550453144616,0.17526792694451587
325,ice,4,0.7857257510291263,0.16484028996681946,0.7619479179492058,0.5530799265333729,7.693157804664784,5.852746355192849,0.1459268953158063
350,train,5,0.942749642595811,0.20519747725780524,0.779124112454013,0.7894125636857287,8.326454572699285,7.053494865095347,0.12416969486552976
350,ice,3,0.593099482088273,0.1620423374661291,0.7050987731020238,0.5444920089114421,2.952559741268814,4.2904486332182215,0.1890198864650335
375,train,5,0.549534351584444,0.13417003524299004,0.6446382417149108,0.6590792495723775,10.990731402917554,6.462200439024078,0.13400872948553258
375,ice,4,0.7106549889564823,0.11775445372659245,0.7543914616326219,0.802512458286157,7.116005670835649,6.242421645087913,0.13807536332522674
