epoch,loss
0,31.77240709774196
1,3.671963557600975
2,2.4621765394695103
3,1.9533874453045428
4,1.7560709523968399
5,1.4864508123137057
6,1.56190841877833
7,1.2729173575062305
8,1.2577126333490014
9,1.117651930078864
10,1.1407309125643224
11,1.1238796922843903
12,1.0459209352266043
13,0.9756827373057604
14,0.9338445425964892
15,0.8303286830196157
16,0.9479038504650816
17,0.8778368586208671
18,0.8345696681644768
19,0.6903232142794877
20,0.7865245897555724
21,0.8314714123262092
22,0.777640848304145
23,0.7549834788078442
24,0.802632630104199
25,0.6422008561203256
26,0.8614257193985395
27,0.7729391221073456
28,0.6488669085083529
29,0.5376067727338523
30,0.5767832444398664
31,0.594662033719942
32,0.5741657902835868
33,0.5305581173743121
34,0.5934598481981084
35,0.6002185012912378
36,0.5121526008006185
37,0.5927925142459571
38,0.6816195210558362
39,0.5757471104152501
40,0.5911646023159847
41,0.4434350040392019
42,0.4821739075414371
43,0.5493716595810838
44,0.7283352235099301
45,0.48966697364812717
46,0.5403669379884377
47,0.5118280763854273
48,0.4032978099421598
49,0.4486996245686896
50,0.4295396092638839
51,0.5001063256640919
52,0.4900216588866897
53,0.4757967355544679
54,0.5629259836277924
55,0.4860298886196688
56,0.4499198065022938
57,0.488282555132173
58,0.5288201835937798
59,0.4111011640634388
60,0.4699103705934249
61,0.3809901775093749
62,0.4800530102220364
63,0.45143381823436357
64,0.5023648304631934
65,0.4215960119909141
66,0.3933463300927542
67,0.3498574467084836
68,0.49122697810526006
69,0.36807874927762896
70,0.2645717744890135
71,0.37472247617552057
72,0.45998702201177366
73,0.30921555298846215
74,0.3134926676284522
75,0.29251189989736304
76,0.4307095681433566
77,0.47837019455619156
78,0.30847201761207543
79,0.36584176210453734
80,0.3818843411572743
81,0.2871593776217196
82,0.465648194309324
83,0.4086423698172439
84,0.3176817150961142
85,0.27248738653725013
86,0.36512047148426063
87,0.20737436669878662
88,0.39139632030855864
89,0.2702898377319798
90,0.3294316683895886
91,0.22996426487225108
92,0.3075114373350516
93,0.32646066416054964
94,0.28045589369139634
95,0.35851211127010174
96,0.39591179450508207
97,0.2575281524041202
98,0.298730225302279
99,0.2875949489825871
100,0.2910081318404991
101,0.5126130660937633
102,0.31416139396606013
103,0.3015216286294162
104,0.2865139949717559
105,0.3252971385663841
106,0.1941687176877167
107,0.1764901851711329
108,0.27667608778574504
109,0.2148687519802479
110,0.2651851227565203
111,0.15207143711450044
112,0.2407512265490368
113,0.18381086169392802
114,0.1937686344026588
115,0.290350956027396
116,0.24121345969615504
117,0.18478410283569247
118,0.17770097713219002
119,0.26988061066367663
120,0.2147630993858911
121,0.22602692872169428
122,0.1812394106236752
123,0.13015853919205256
124,0.43473280579200946
125,0.13558703810849693
126,0.35937124711927027
127,0.3237689905508887
128,0.19340997166000307
129,0.21467691064754035
130,0.18966659455327317
131,0.170485942682717
132,0.2616142519109417
133,0.2681633892352693
134,0.22999749597511254
135,0.07435948264901526
136,0.03011087843333371
137,0.0250196962224436
138,0.022779635444749147
139,0.026232732387143187
140,0.020571649030898698
141,0.018849475571187213
142,0.027969117458269466
143,0.019549673423171043
144,0.023522086055891123
145,0.03212286746565951
146,0.01944047276265337
147,0.018151515894714976
148,0.018368565404671244
149,0.022209664872207213
150,0.02004048026719829
151,0.02727139178023208
152,0.03355901186296251
153,0.023277118423720822
154,0.02192690852098167
155,0.023848866840125993
156,0.019381646983674727
157,0.018888169623096474
158,0.01984273223206401
159,0.026661288473405875
160,0.021003045665565878
161,0.023923693515826017
162,0.04171022029186133
163,0.5154001917799178
164,1.2025926930364221
165,0.9112008613883518
166,0.4761833581433166
167,0.2336643640010152
168,0.3832257021276746
169,0.266121053165989
170,0.20228986284928396
171,0.40178754218504764
172,0.19799463156959973
173,0.1586971543438267
174,0.28127880141255446
175,0.38485067448345944
176,0.2060831893759314
177,0.11381119168072473
178,0.14727836595557164
179,0.14849375911580864
180,0.10498276700673159
181,0.04993506922619417
182,0.42964634142117575
183,0.3438038516615052
184,0.15476782440964598
185,0.13853464457497466
186,0.11710117022448685
187,0.06946859836170916
188,0.02640964499732945
189,0.01832752763584722
190,0.016035993707191665
191,0.014941821318643633
192,0.022355232009431347
193,0.014967385603085859
194,0.013979687115352135
195,0.01481724604673218
196,0.014789819273573812
197,0.015518853026151191
