step,object_id,model_x,model_y,model_vx,model_vy,model_contact,oracle_x,oracle_y,oracle_vx,oracle_vy,oracle_contact
0,0,0.5003857612609863,1.453495979309082,-0.017647195607423782,0.019094279035925865,0.00038822522037662566,0.5035966468293205,1.4458245310088953,-0.01637262683065151,0.01625412367883902,0.0
0,1,-0.33239904046058655,0.9039812684059143,0.045297205448150635,-0.006978080607950687,0.0003966423391830176,-0.32901260820442396,0.8980230043393453,0.04643556338320544,-0.007526637406121937,0.0
0,2,-0.967614471912384,1.659533143043518,-0.44944965839385986,0.2094292789697647,0.9998761415481567,-0.9697570715765085,1.6553929322390646,-0.45,0.21147780826211754,1.0
0,3,-0.3494322597980499,1.412734866142273,0.09712322056293488,-0.02568061649799347,0.0005151854129508138,-0.3470630312396888,1.4037153188369176,0.09808489055983978,-0.028233498568101485,0.0
0,4,-0.9895918965339661,0.971345841884613,-0.45762598514556885,0.05635356158018112,0.9991890788078308,-0.9783651061530463,0.9602025700182588,-0.45,0.04725048037408448,1.0
1,0,0.48062050342559814,1.5107704401016235,-0.021003220230340958,0.049567610025405884,0.00040324145811609924,0.487224019998669,1.4920786546877343,-0.01637262683065151,0.04625412367883902,0.0
1,1,-0.2876186966896057,0.8693661093711853,0.04439845681190491,-0.041789326816797256,0.0004250393540132791,-0.28257704482121854,0.8554963669332234,0.04643556338320544,-0.04252663740612194,0.0
1,2,0.4696415960788727,-0.28734803199768066,-0.054185040295124054,0.32771986722946167,0.04942551627755165,-1.4197570715765084,1.8968707405011822,-0.45,0.24147780826211754,1.0
1,3,-0.25413429737091064,1.3623247146606445,0.09301148355007172,-0.06057533621788025,0.000610862101893872,-0.24897814067984902,1.340481820268816,0.09808489055983978,-0.06323349856810148,0.0
1,4,0.48815304040908813,-0.2915802001953125,-0.060732193291187286,0.32962602376937866,0.0505305752158165,-1.4283651061530462,1.0374530503923434,-0.45,0.07725048037408448,1.0
2,0,0.45861130952835083,1.6075527667999268,-0.026985324919223785,0.08484172821044922,0.0003889987419825047,0.4708513931680175,1.5683327783665733,-0.01637262683065151,0.07625412367883902,0.0
2,1,-0.2435045689344406,0.8013545870780945,0.041571877896785736,-0.07562309503555298,0.0004562352260109037,-0.2361414814380131,0.7779697295271014,0.04643556338320544,-0.07752663740612195,0.0
2,2,0.04611239209771156,0.2817208170890808,-0.39789140224456787,0.07859254628419876,1.0,-1.5,2.1683485487632996,-0.45,0.27147780826211754,1.0
2,3,-0.16332750022411346,1.2781552076339722,0.08689023554325104,-0.09196940064430237,0.000680906290654093,-0.15089325012000926,1.2422483217007145,0.09808489055983978,-0.09823349856810148,0.0
2,4,0.3360937833786011,-0.13711918890476227,-0.08301306515932083,0.2881404161453247,0.11276800185441971,-1.5,1.144703530766428,-0.45,0.10725048037408448,1.0
