scene_id,step,object_id,model_x,model_y,model_vx,model_vy,model_contact,oracle_x,oracle_y,oracle_vx,oracle_vy,oracle_contact
0,0,0,-0.7750543355941772,1.128291130065918,0.0342889279127121,0.3791314363479614,0.9998853206634521,-0.7735946593142936,1.1174209430920035,0.03388705680717263,0.3823798973752366,1.0
0,0,1,-0.8797847628593445,0.297443151473999,-0.08076763898134232,-0.33131733536720276,0.00027652570861391723,-0.8817727721425592,0.2983431937496025,-0.0760047482141689,-0.3246586428723235,0.0
0,0,2,-0.6678907871246338,0.6289368867874146,0.053602635860443115,-0.03749566152691841,0.9997715353965759,-0.6669473482679333,0.626230927712096,0.05771601037200734,-0.03670791291773785,1.0
0,0,3,-1.299486517906189,1.2862517833709717,-0.44830185174942017,0.5493917465209961,0.9999977350234985,-1.3026083143663851,1.2682277624604583,-0.45,0.55,1.0
0,0,4,-0.4337131381034851,0.836173415184021,0.18430548906326294,0.10456357896327972,0.9996057152748108,-0.4318687598342045,0.837671912242766,0.18738510624477786,0.10917714590365835,1.0
0,1,0,-0.42940554022789,1.0334677696228027,0.05265173316001892,0.20134210586547852,2.5391640519956127e-05,-0.739707602507121,1.4648008404672401,0.03388705680717263,0.34737989737523656,1.0
0,1,1,0.4035239517688751,-0.21031372249126434,-0.06971593201160431,0.26099830865859985,0.014008822850883007,-0.9577775203567281,0.14,-0.07030439209810624,0.0,1.0
0,1,2,-0.4578123390674591,0.6025171279907227,0.03594259172677994,-0.07194239646196365,0.000407771352911368,-0.609231337895926,0.5545230147943582,0.05771601037200734,-0.07170791291773786,1.0
0,1,3,0.49445638060569763,-0.3010101914405823,-0.03428937494754791,0.3891536593437195,0.09931337088346481,-1.5,1.8182277624604584,-0.45,0.55,1.0
0,1,4,-0.12719057500362396,0.9357376098632812,0.1622592657804489,0.06321710348129272,0.00011719739995896816,-0.2444836535894266,0.9118490581464244,0.18738510624477786,0.07417714590365834,1.0
0,2,0,-0.36136966943740845,1.2209726572036743,0.050711795687675476,0.15538500249385834,5.9985493862768635e-05,-0.7058205456999483,1.7771807378424767,0.03388705680717263,0.3123798973752365,1.0
0,2,1,0.3106533885002136,0.16221389174461365,-0.10383878648281097,0.13711930811405182,0.9999991655349731,-1.0254454977511553,0.14,-0.06259287908984522,0.0,1.0
0,2,2,-0.41870370507240295,0.504800021648407,0.033217653632164,-0.10744288563728333,0.0004437953175511211,-0.5515153275239186,0.4478151018766203,0.05771601037200734,-0.10670791291773786,1.0
0,2,3,0.5896076560020447,-0.40535879135131836,-0.08860938251018524,0.5485703945159912,0.9740918278694153,-1.5,2.3682277624604584,-0.45,0.55,1.0
0,2,4,0.041872721165418625,0.9761316776275635,0.15722867846488953,0.02481778897345066,0.00019385294581297785,-0.057098547344648753,0.9510262040500828,0.18738510624477786,0.03917714590365834,1.0
0,3,0,-0.3060123026371002,1.3662638664245605,0.047152042388916016,0.11542744189500809,0.0002141164877684787,-0.6719334888927757,2.054560635217713,0.03388705680717263,0.2773798973752365,1.0
0,3,1,0.2848105728626251,0.335284948348999,-0.08934229612350464,0.09019287675619125,0.00025561812799423933,-1.0856911438751313,0.14,-0.05572722266467783,0.0,1.0
0,3,2,-0.3811721205711365,0.3708658814430237,0.030477099120616913,-0.1417226493358612,0.0006287457072176039,-0.4937993171519113,0.30610718895888245,0.05771601037200734,-0.14170791291773788,1.0
0,3,3,0.5307880640029907,-0.30542320013046265,-0.005994141101837158,0.4289783239364624,0.12453790009021759,-1.5,2.5,-0.45,0.55,1.0
0,3,4,0.20737266540527344,0.9781520962715149,0.1518997848033905,-0.010981639847159386,0.00034134447923861444,0.1302865589001291,0.9552033499537411,0.18738510624477786,0.004177145903658336,1.0
0,4,0,-0.2559712827205658,1.4688408374786377,0.044019296765327454,0.07874150574207306,0.0004389206587802619,-0.6380464320856031,2.2969405325929495,0.03388705680717263,0.2423798973752365,1.0
0,4,1,0.2066439837217331,0.4019365906715393,-0.08351965993642807,0.05373690277338028,0.00035518049844540656,-1.1393285956898838,0.14,-0.04961464292864598,0.0,1.0
0,4,2,-0.34554043412208557,0.20340949296951294,0.028986960649490356,-0.17367279529571533,0.0013122038217261434,-0.4360833067799039,0.12939927604114457,0.05771601037200734,-0.17670791291773788,1.0
